Reading additional input from stdin...
2026-09-09T16:17:55.646571Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.648448Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.650241Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.654348Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.656462Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.661222Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.664641Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.669119Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.671574Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.674945Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.677238Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.679591Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.681591Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.683865Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.685924Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.687572Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.689639Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.692471Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.694750Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.696920Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.699156Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.709387Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.712165Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.715236Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.718256Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.720439Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.722984Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.726567Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.728803Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.730906Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.733494Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.735682Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.737931Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.740997Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.743169Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
2026-09-09T16:17:55.745262Z ERROR codex_core::tools::router: error=unsupported call: mcp__chio__read_text_file
